algorithm,size,backend,oracle_shots,epsilon,batch
realamprandom,12,fake_torino,14900,0.1,50
realamprandom,13,aer_simulator,11750,0.1,50
realamprandom,13,fake_fez,16900,0.1,50
realamprandom,13,fake_kyiv,17150,0.1,50
realamprandom,13,fake_marrakesh,16500,0.1,50
realamprandom,13,fake_sherbrooke,17150,0.1,50
realamprandom,13,fake_torino,17050,0.1,50
realamprandom,14,aer_simulator,15200,0.1,50
realamprandom,14,fake_fez,17650,0.1,50
realamprandom,14,fake_kyiv,17700,0.1,50
realamprandom,14,fake_marrakesh,17550,0.1,50
realamprandom,14,fake_sherbrooke,17700,0.1,50
realamprandom,14,fake_torino,17700,0.1,50
realamprandom,15,aer_simulator,16250,0.1,50
realamprandom,15,fake_fez,17900,0.1,50
realamprandom,15,fake_kyiv,17900,0.1,50
realamprandom,15,fake_marrakesh,17800,0.1,50
realamprandom,15,fake_sherbrooke,17900,0.1,50
realamprandom,15,fake_torino,17900,0.1,50
su2random,4,aer_simulator,250,0.1,50
su2random,4,fake_fez,250,0.1,50
su2random,4,fake_kyiv,300,0.1,50
su2random,4,fake_marrakesh,400,0.1,50
su2random,4,fake_sherbrooke,400,0.1,50
su2random,4,fake_torino,300,0.1,50
su2random,5,aer_simulator,550,0.1,50
su2random,5,fake_fez,450,0.1,50
su2random,5,fake_kyiv,450,0.1,50
su2random,5,fake_marrakesh,300,0.1,50
su2random,5,fake_sherbrooke,350,0.1,50
su2random,5,fake_torino,450,0.1,50
su2random,6,aer_simulator,650,0.1,50
su2random,6,fake_fez,1050,0.1,50
su2random,6,fake_kyiv,1150,0.1,50
su2random,6,fake_marrakesh,900,0.1,50
su2random,6,fake_sherbrooke,800,0.1,50
su2random,6,fake_torino,950,0.1,50
su2random,7,aer_simulator,1600,0.1,50
su2random,7,fake_fez,2050,0.1,50
su2random,7,fake_kyiv,1750,0.1,50
su2random,7,fake_marrakesh,1500,0.1,50
su2random,7,fake_sherbrooke,1950,0.1,50
su2random,7,fake_torino,1500,0.1,50
su2random,8,aer_simulator,2550,0.1,50
su2random,8,fake_fez,3450,0.1,50
su2random,8,fake_kyiv,3050,0.1,50
su2random,8,fake_marrakesh,3400,0.1,50
su2random,8,fake_sherbrooke,3200,0.1,50
su2random,8,fake_torino,3100,0.1,50
su2random,9,aer_simulator,4250,0.1,50
su2random,9,fake_fez,5400,0.1,50
